2011fe M101 29.151 0.042 29.078 0.04 29.113 0.029 29.194 0.039
2002fk N1309 NA NA 32.499 0.07 32.499 0.070 32.546 0.060
2006dd N1316 NA NA 31.460 0.04 31.460 0.040 NA NA
1980N N1316 NA NA 31.460 0.04 31.460 0.040 NA NA
1981D N1316 NA NA 31.460 0.04 31.460 0.040 NA NA
2012fr N1365 31.366 0.069 31.360 0.05 31.362 0.040 31.379 0.057
2011iv N1404 NA NA 31.360 0.06 31.360 0.060 NA NA
2007on N1404 NA NA 31.360 0.06 31.360 0.060 NA NA
2001el N1448 NA NA 31.320 0.06 31.321 0.038 31.290 0.037
2021pit N1448 NA NA NA NA 31.321 0.038 31.290 0.037
2015F N2442 31.646 0.097 NA NA 31.646 0.097 31.457 0.065
1995al N3021 NA NA 32.221 0.05 32.221 0.050 32.475 0.160
1998bu N3368 NA NA 30.313 0.04 30.313 0.040 NA NA
1994ae N3370 NA NA 32.273 0.05 32.273 0.050 32.123 0.052
1989B N3627 NA NA 30.221 0.04 30.221 0.040 NA NA
2011by N3972 31.747 0.068 NA NA 31.747 0.068 31.644 0.090
2007sr N4038 31.645 0.078 31.681 0.05 31.671 0.042 31.615 0.117
2012cg N4424 30.926 0.030 31.000 0.06 30.941 0.027 30.856 0.130
1994D N4526 NA NA 30.998 0.07 30.998 0.070 NA NA
1981B N4536 30.923 0.052 30.964 0.05 30.944 0.036 30.838 0.051
1990N N4639 31.774 0.073 NA NA 31.774 0.073 31.818 0.085
2007af N5584 NA NA 31.822 0.10 31.845 0.047 31.775 0.053
2013aa N5643 30.643 0.071 30.475 0.08 30.583 0.039 30.570 0.050
2017cbv N5643 30.643 0.071 30.475 0.08 30.583 0.039 30.570 0.050
2013dy N7250 31.629 0.047 NA NA 31.629 0.047 31.628 0.126
